loading	Gene.name
ENSG00000169188	0.0139898858007392	APEX2
ENSG00000140332	0.0139897533264445	TLE3
ENSG00000109519	0.0139892921922461	GRPEL1
ENSG00000197641	0.0139778379322129	SERPINB13
ENSG00000159720	0.0139753202474351	ATP6V0D1
ENSG00000090520	0.0139736453896527	DNAJB11
ENSG00000095585	0.0139724525246821	BLNK
ENSG00000117308	0.0139699392598476	GALE
ENSG00000100139	0.0139698421403776	MICALL1
ENSG00000105173	0.0139698322385821	CCNE1
ENSG00000198074	0.0139658692812711	AKR1B10
ENSG00000150764	-0.0139624390589768	DIXDC1
ENSG00000108671	0.0139588370895089	PSMD11
ENSG00000262664	0.0139527444697008	OVCA2
ENSG00000100567	0.0139506559271003	PSMA3
ENSG00000107537	-0.0139487390276234	PHYH
ENSG00000169230	0.0139464720581023	PRELID1
ENSG00000069702	-0.0139445467151398	TGFBR3
ENSG00000101057	0.0139445141637802	MYBL2
ENSG00000117399	0.0139430048419754	CDC20
ENSG00000239672	0.0139419082816682	NME1
ENSG00000158882	0.0139414672433393	TOMM40L
ENSG00000184384	-0.0139412779159305	MAML2
ENSG00000183696	0.0139404875957611	UPP1
ENSG00000174808	-0.0139358987126112	BTC
ENSG00000174282	-0.0139331012724754	ZBTB4
ENSG00000115361	-0.0139319587328198	ACADL
ENSG00000262814	0.0139284639649075	MRPL12
ENSG00000136695	0.0139263418065782	IL36RN
ENSG00000007402	-0.013925401747634	CACNA2D2
ENSG00000073067	-0.0139216125368994	CYP2W1
ENSG00000223572	0.0139159915408719	CKMT1A
ENSG00000174502	0.0139133328829313	SLC26A9
ENSG00000242372	0.0139082882579711	EIF6
ENSG00000164611	0.0139074888304615	PTTG1
ENSG00000153802	0.0139043546536609	TMPRSS11D
ENSG00000162302	0.0139040000699881	RPS6KA4
ENSG00000011523	-0.013899881868047	CEP68
ENSG00000188486	0.0138995833421727	H2AX
ENSG00000164620	0.0138957053724494	RELL2
ENSG00000183479	0.0138916422848742	TREX2
ENSG00000130589	0.013890300903605	HELZ2
ENSG00000176920	0.0138874545647185	FUT2
ENSG00000164176	-0.0138850603592116	EDIL3
ENSG00000149573	0.0138847856545235	MPZL2
ENSG00000128626	0.0138833695951063	MRPS12
ENSG00000132507	0.0138816732850158	EIF5A
ENSG00000265972	-0.0138807744065087	TXNIP
ENSG00000103319	-0.0138801891090102	EEF2K
ENSG00000177889	0.013877926728559	UBE2N
ENSG00000115919	0.0138773322370286	KYNU
ENSG00000120217	0.0138772649332609	CD274
ENSG00000148187	0.0138750251556977	MRRF
ENSG00000180354	-0.0138740344269745	MTURN
ENSG00000163209	0.0138685344947862	SPRR3
ENSG00000142507	0.0138636907916564	PSMB6
ENSG00000165304	0.0138618835638815	MELK
ENSG00000180198	0.0138587481268127	RCC1
ENSG00000137103	-0.0138578634068989	TMEM8B
ENSG00000169299	0.0138577514692082	PGM2
ENSG00000112115	0.0138558632459919	IL17A
ENSG00000171848	0.0138547419474807	RRM2
ENSG00000136950	0.0138503023946791	ARPC5L
ENSG00000033011	0.0138475003743337	ALG1
ENSG00000127423	0.0138472390725444	AUNIP
ENSG00000090316	0.0138464624072012	MAEA
ENSG00000258818	-0.0138419205324925	RNASE4
ENSG00000163472	0.0138406521735678	TMEM79
ENSG00000236609	-0.0138400512324562	ZNF853
ENSG00000129255	0.0138397937881688	MPDU1
ENSG00000137168	0.0138381862339453	PPIL1
ENSG00000093134	0.0138274845216078	VNN3P
ENSG00000088726	0.0138263103933356	TMEM40
ENSG00000084207	0.0138227156456701	GSTP1
ENSG00000146670	0.0138201732709824	CDCA5
ENSG00000177105	0.0138190963764666	RHOG
ENSG00000166183	0.0138185650657975	ASPG
ENSG00000037241	0.0138177287988118	RPL26L1
ENSG00000130204	0.0138160337035763	TOMM40
ENSG00000184216	0.0138158150980583	IRAK1
ENSG00000100078	0.0138138447359969	PLA2G3
ENSG00000050730	0.0138109309439377	TNIP3
ENSG00000164292	-0.0138093299024585	RHOBTB3
ENSG00000117984	0.013808213000607	CTSD
ENSG00000163468	0.0138077972735663	CCT3
ENSG00000004139	-0.0138053153790042	SARM1
ENSG00000149923	0.0138052421321224	PPP4C
ENSG00000196954	0.0138030954052861	CASP4
ENSG00000163221	0.0138013990681849	S100A12
ENSG00000135439	0.0138001092321042	AGAP2
ENSG00000157111	0.013796835237576	TMEM171
ENSG00000121073	0.0137946577008365	SLC35B1
ENSG00000103067	0.0137944678805825	ESRP2
ENSG00000005001	0.0137917946833191	PRSS22
ENSG00000165283	0.0137911233068351	STOML2
ENSG00000187840	0.0137911154522116	EIF4EBP1
ENSG00000153292	0.0137827828178049	ADGRF1
ENSG00000132561	-0.0137822140686121	MATN2
ENSG00000075618	0.0137803515870658	FSCN1
ENSG00000156218	-0.0137782122539597	ADAMTSL3
ENSG00000174951	0.0137747372267436	FUT1
ENSG00000172201	-0.0137742440230987	ID4
ENSG00000121316	0.0137735758085886	PLBD1
ENSG00000164087	0.0137735531647014	POC1A
ENSG00000166851	0.0137709944524244	PLK1
ENSG00000131475	0.0137706381944259	VPS25
ENSG00000169213	-0.0137703421039834	RAB3B
ENSG00000163218	0.0137690828504249	PGLYRP4
ENSG00000268104	0.0137659140338631	SLC6A14
ENSG00000241553	0.0137598089971924	ARPC4
ENSG00000147416	0.0137574401147594	ATP6V1B2
ENSG00000172164	-0.0137536556141461	SNTB1
ENSG00000108829	0.0137534594753271	LRRC59
ENSG00000175792	0.0137527114334837	RUVBL1
ENSG00000089685	0.0137524415175887	BIRC5
ENSG00000175287	-0.0137508314001128	PHYHD1
ENSG00000116663	0.0137505986963978	FBXO6
ENSG00000104812	0.0137441246706743	GYS1
ENSG00000119138	-0.0137434140600751	KLF9
ENSG00000171791	-0.0137423531477042	BCL2
ENSG00000111206	0.0137421833455287	FOXM1
ENSG00000273604	0.0137407565785515	EPOP
ENSG00000163207	0.0137407099137975	IVL
ENSG00000133110	-0.0137401030982958	POSTN
ENSG00000167555	-0.0137388119224732	ZNF528
ENSG00000188373	0.0137380690530368	GPR15LG
ENSG00000163902	0.0137362572777144	RPN1
ENSG00000148459	0.0137361720372421	PDSS1
ENSG00000145194	0.0137330733938276	ECE2
ENSG00000132698	0.0137314434241444	RAB25
ENSG00000137648	0.0137308227127535	TMPRSS4
ENSG00000134684	0.0137294270012283	YARS1
ENSG00000044574	0.0137292430904759	HSPA5
ENSG00000112033	0.0137291935321625	PPARD
ENSG00000154767	-0.0137276404757329	XPC
ENSG00000105835	0.0137247743132822	NAMPT
ENSG00000125445	0.013722928214229	MRPS7
ENSG00000136457	-0.0137196028735681	CHAD
ENSG00000170426	0.0137146821282607	SDR9C7
ENSG00000117899	0.0137140452974167	MESD
ENSG00000143556	0.0137138634903114	S100A7
ENSG00000197191	0.0137133381925615	CYSRT1
ENSG00000214706	0.0137125108445301	IFRD2
ENSG00000112116	0.0137110644867481	IL17F
ENSG00000151247	0.0137101209749686	EIF4E
ENSG00000107833	0.0137064938789867	NPM3
ENSG00000197928	-0.0137056511327143	ZNF677
ENSG00000172243	0.0137036309397434	CLEC7A
ENSG00000157368	-0.0137013706413323	IL34
ENSG00000163866	0.0137001513190667	SMIM12
ENSG00000134375	0.0136927253987129	TIMM17A
ENSG00000116455	0.0136909102285897	WDR77
ENSG00000170465	0.0136907648404112	KRT6C
ENSG00000124215	0.0136907492092664	CDH26
